test_sample_index,case_rank,similar_case_index,similarity,distance,case_roof_displacement,case_fracture_degree,case_coal_strength,case_floor_strength,case_roof_strength,case_depth,case_width,case_bolt_area,case_anchor_density
20,1,26,0.496361,1.014662,46.0,1.0,14.15,41.3,64.8,429.0,5.4,0.81,1.11
20,2,84,0.47149,1.120936,112.0,1.0,11.0,27.67,58.0,550.0,4.6,0.64,1.25
20,3,95,0.458278,1.18208,70.0,1.0,11.03,26.7,53.38,468.0,6.0,0.64,1.88
20,4,8,0.452531,1.209792,53.0,1.0,11.8,31.05,51.65,650.0,5.2,0.72,1.67
20,5,60,0.44786,1.232842,95.0,1.0,11.88,30.2,49.56,359.0,5.0,0.81,1.11
21,1,135,0.393773,1.539537,80.0,1.0,11.03,26.7,36.42,550.0,5.2,0.81,1.11
21,2,8,0.393355,1.542232,53.0,1.0,11.8,31.05,51.65,650.0,5.2,0.72,1.67
21,3,131,0.349011,1.865235,56.0,1.0,10.1,14.69,30.51,600.0,5.0,0.81,1.67
21,4,134,0.321919,2.106375,49.5,1.0,8.04,22.17,44.64,540.0,5.6,1.0,1.5
21,5,69,0.320927,2.115977,119.0,1.0,15.9,32.13,63.86,700.0,5.0,0.64,1.25
22,1,41,0.463284,1.158504,38.0,0.0,16.0,26.7,46.34,383.0,4.2,0.9,1.0
22,2,62,0.402562,1.484091,74.8,0.0,14.58,37.88,50.54,429.0,4.5,0.64,1.25
22,3,115,0.395313,1.529642,61.3,0.0,11.0,27.67,32.0,350.0,4.2,0.64,2.5
22,4,122,0.370251,1.700867,120.0,0.0,8.5,46.0,15.0,320.0,3.6,0.64,1.25
22,5,42,0.353549,1.828465,13.0,0.0,8.6,31.9,47.2,500.0,4.5,1.1,0.67
23,1,106,1.0,0.0,49.0,1.0,14.0,27.6,26.03,396.0,4.7,0.8,2.0
23,2,67,0.703015,0.422444,5.0,1.0,14.0,31.9,32.04,375.0,4.7,0.8,2.0
23,3,132,0.585758,0.70719,15.0,1.0,14.0,31.9,31.87,375.0,5.0,0.9,2.0
23,4,116,0.474107,1.10923,70.0,1.0,11.5,31.5,31.04,400.0,4.2,0.81,1.11
23,5,173,0.459645,1.175593,5.6,1.0,14.0,32.9,43.53,321.0,4.7,0.72,2.22
24,1,28,0.47334,1.112646,52.0,1.0,13.06,32.46,53.8,401.0,4.2,0.6,2.67
24,2,73,0.438522,1.280386,120.0,1.0,14.13,50.0,55.04,450.0,3.6,0.6,2.67
24,3,70,0.413909,1.415992,6.4,1.0,14.0,29.1,45.65,484.0,4.2,0.63,3.33
24,4,109,0.397349,1.516681,5.0,1.0,14.0,32.9,43.53,321.0,3.9,0.72,2.22
24,5,23,0.396858,1.519795,46.2,1.0,14.91,31.24,49.49,477.0,4.2,0.49,1.43
25,1,82,1.0,0.0,100.0,1.0,12.66,30.33,47.22,855.0,4.0,0.49,1.43
25,2,27,0.375362,1.664096,162.0,1.0,11.0,58.0,51.18,800.0,4.2,0.56,1.88
25,3,80,0.339777,1.943103,86.0,1.0,15.79,43.41,57.69,695.0,4.6,0.64,0.42
25,4,69,0.33965,1.944211,119.0,1.0,15.9,32.13,63.86,700.0,5.0,0.64,1.25
25,5,8,0.314742,2.177202,53.0,1.0,11.8,31.05,51.65,650.0,5.2,0.72,1.67
26,1,62,1.0,0.0,74.8,0.0,14.58,37.88,50.54,429.0,4.5,0.64,1.25
26,2,25,0.476577,1.098295,88.0,0.0,14.34,38.99,44.23,530.0,5.0,0.6,1.88
26,3,104,0.412352,1.425114,124.3,0.0,15.81,30.46,39.67,440.0,5.5,0.64,0.83
26,4,110,0.410861,1.433914,42.0,0.0,12.89,41.16,55.44,387.0,3.5,0.49,1.43
26,5,41,0.407802,1.452173,38.0,0.0,16.0,26.7,46.34,383.0,4.2,0.9,1.0
27,1,99,0.707361,0.413705,50.0,0.0,70.0,66.0,20.29,407.0,4.2,0.81,0.56
27,2,120,0.120297,7.312736,66.0,1.0,23.6,51.4,46.8,145.0,4.0,0.63,1.67
